rnk	team	 rating 	  record  	  SOS: rank  	  top 25  wins	  top 50  wins	 best game
109. 	South Alabama    	0.283695	3-9	0.497644: 68	0	0	W: #91 Coastal Carolina
110. 	Arkansas    	0.275593	2-10	0.571525: 30	0	0	W: #116 Tulsa
111. 	East Carolina    	0.273854	3-9	0.486163: 78	0	0	W: #113 North Carolina
112. 	Oregon St    	0.269558	2-10	0.564485: 35	0	0	W: #95 Colorado
113. 	North Carolina    	0.266103	2-9	0.541759: 48	0	1	W: #37 Pittsburgh
114. 	FCS GROUP 6    	0.262030	2-11	0.571573: 29	0	1	n/a
115. 	Old Dominion    	0.252500	4-8	0.377917: 133	0	0	W: #58 North Texas
116. 	Tulsa    	0.238113	3-9	0.444465: 102	0	0	W: #93 SMU
117. 	Georgia St    	0.234951	2-10	0.524110: 60	0	0	W: #85 LA Monroe
118. 	Colorado St    	0.232616	3-9	0.438052: 110	0	0	W: #110 Arkansas
119. 	New Mexico    	0.232406	3-9	0.437807: 112	0	0	W: #108 UNLV
120. 	FCS GROUP 1    	0.229094	3-10	0.456646: 92	0	0	n/a
121. 	UTSA    	0.224118	3-9	0.428138: 116	0	0	W: #125 Texas St
122. 	Bowling Green    	0.222908	3-9	0.426726: 118	0	0	W: #104 Akron
123. 	New Mexico St    	0.205950	3-9	0.406942: 125	0	0	W: #98 Liberty
124. 	Rutgers    	0.205460	1-11	0.573037: 26	0	0	W: #125 Texas St
125. 	Texas St    	0.202049	3-9	0.402391: 126	0	0	W: #117 Georgia St
126. 	West Kentucky    	0.186121	3-9	0.383807: 131	0	0	W: #88 Louisiana Tech
127. 	San Jose St    	0.165581	1-11	0.526511: 57	0	0	W: #108 UNLV
128. 	FCS GROUP 5    	0.161501	0-12	0.605085: 10	0	0	n/a
129. 	Kent St    	0.161092	2-10	0.437941: 111	0	0	W: #122 Bowling Green
130. 	Connecticut    	0.154790	1-11	0.513922: 64	0	0	W: #135 FCS
131. 	Rice    	0.147162	2-11	0.439033: 109	0	0	W: #115 Old Dominion
132. 	FCS GROUP 4    	0.140230	1-10	0.483908: 80	0	0	n/a
133. 	FCS GROUP 7    	0.126700	0-13	0.569270: 32	0	0	n/a
134. 	Cent Michigan    	0.108727	1-11	0.460182: 91	0	0	W: #120 FCS
135. 	FCS GROUP 3    	0.102404	1-11	0.452805: 95	0	0	n/a
136. 	FCS GROUP 8    	0.099483	0-13	0.537866: 53	0	0	n/a
137. 	FCS GROUP 2    	0.049176	0-13	0.479819: 83	0	0	n/a
138. 	UTEP    	0.036672	1-11	0.376118: 134	0	0	W: #131 Rice
139. 	FCS GROUP 9    	0.021419	0-12	0.441655: 105	0	0	n/a
